Date, Open, High, Low, Close
11/11/21, 1518.85, 1518.85, 1518.85, 1518.85
11/10/21, 1520.74, 1520.74, 1520.74, 1520.74
11/09/21, 1524.03, 1524.03, 1524.03, 1524.03
11/08/21, 1535.41, 1535.41, 1535.41, 1535.41
11/05/21, 1531.73, 1531.73, 1531.73, 1531.73
11/03/21, 1531.33, 1531.33, 1531.33, 1531.33
11/02/21, 1537.63, 1537.63, 1537.63, 1537.63
11/01/21, 1530.92, 1530.92, 1530.92, 1530.92
10/29/21, 1562.31, 1562.31, 1562.31, 1562.31
10/28/21, 1566.86, 1566.86, 1566.86, 1566.86
10/27/21, 1583.08, 1583.08, 1583.08, 1583.08
10/26/21, 1584.20, 1584.20, 1584.20, 1584.20
10/25/21, 1587.94, 1587.94, 1587.94, 1587.94
10/22/21, 1588.08, 1588.08, 1588.08, 1588.08
10/21/21, 1591.62, 1591.62, 1591.62, 1591.62
10/20/21, 1606.32, 1606.32, 1606.32, 1606.32
10/18/21, 1605.97, 1605.97, 1605.97, 1605.97
10/15/21, 1598.28, 1598.28, 1598.28, 1598.28
10/14/21, 1592.52, 1592.52, 1592.52, 1592.52
10/13/21, 1600.38, 1600.38, 1600.38, 1600.38
10/12/21, 1583.91, 1583.91, 1583.91, 1583.91
10/11/21, 1570.82, 1570.82, 1570.82, 1570.82
10/08/21, 1563.90, 1563.90, 1563.90, 1563.90
10/07/21, 1561.29, 1561.29, 1561.29, 1561.29
10/06/21, 1559.42, 1559.42, 1559.42, 1559.42
10/05/21, 1530.42, 1530.42, 1530.42, 1530.42
10/04/21, 1522.47, 1522.47, 1522.47, 1522.47
10/01/21, 1524.48, 1524.48, 1524.48, 1524.48
09/30/21, 1537.80, 1537.80, 1537.80, 1537.80
09/29/21, 1547.65, 1547.65, 1547.65, 1547.65
09/28/21, 1546.82, 1546.82, 1546.82, 1546.82
09/27/21, 1533.05, 1533.05, 1533.05, 1533.05
09/24/21, 1532.06, 1532.06, 1532.06, 1532.06
09/23/21, 1539.34, 1539.34, 1539.34, 1539.34
09/22/21, 1529.02, 1529.02, 1529.02, 1529.02
09/21/21, 1530.44, 1530.44, 1530.44, 1530.44
09/20/21, 1527.89, 1527.89, 1527.89, 1527.89
09/17/21, 1548.51, 1548.51, 1548.51, 1548.51
09/15/21, 1555.26, 1555.26, 1555.26, 1555.26
09/14/21, 1555.51, 1555.51, 1555.51, 1555.51
09/13/21, 1570.13, 1570.13, 1570.13, 1570.13
09/10/21, 1575.97, 1575.97, 1575.97, 1575.97
09/09/21, 1578.89, 1578.89, 1578.89, 1578.89
09/08/21, 1597.63, 1597.63, 1597.63, 1597.63
09/07/21, 1583.48, 1583.48, 1583.48, 1583.48
09/06/21, 1581.59, 1581.59, 1581.59, 1581.59
09/03/21, 1589.19, 1589.19, 1589.19, 1589.19
09/02/21, 1582.19, 1582.19, 1582.19, 1582.19
09/01/21, 1586.89, 1586.89, 1586.89, 1586.89
08/30/21, 1601.38, 1601.38, 1601.38, 1601.38
08/27/21, 1590.16, 1590.16, 1590.16, 1590.16
08/26/21, 1585.74, 1585.74, 1585.74, 1585.74
08/25/21, 1569.80, 1569.80, 1569.80, 1569.80
08/24/21, 1553.37, 1553.37, 1553.37, 1553.37
08/23/21, 1522.43, 1522.43, 1522.43, 1522.43
08/20/21, 1518.03, 1518.03, 1518.03, 1518.03
08/19/21, 1514.95, 1514.95, 1514.95, 1514.95
08/18/21, 1525.24, 1525.24, 1525.24, 1525.24
08/17/21, 1523.59, 1523.59, 1523.59, 1523.59
08/16/21, 1502.90, 1502.90, 1502.90, 1502.90
08/13/21, 1505.11, 1505.11, 1505.11, 1505.11
08/12/21, 1501.97, 1501.97, 1501.97, 1501.97
08/11/21, 1504.44, 1504.44, 1504.44, 1504.44
08/09/21, 1496.73, 1496.73, 1496.73, 1496.73
08/06/21, 1489.80, 1489.80, 1489.80, 1489.80
08/05/21, 1495.78, 1495.78, 1495.78, 1495.78
08/04/21, 1491.33, 1491.33, 1491.33, 1491.33
08/03/21, 1500.26, 1500.26, 1500.26, 1500.26
08/02/21, 1493.00, 1493.00, 1493.00, 1493.00
07/30/21, 1494.60, 1494.60, 1494.60, 1494.60
07/29/21, 1512.93, 1512.93, 1512.93, 1512.93
07/28/21, 1515.39, 1515.39, 1515.39, 1515.39
07/27/21, 1514.60, 1514.60, 1514.60, 1514.60
07/26/21, 1512.53, 1512.53, 1512.53, 1512.53
07/23/21, 1523.44, 1523.44, 1523.44, 1523.44
07/22/21, 1527.62, 1527.62, 1527.62, 1527.62
07/21/21, 1516.52, 1516.52, 1516.52, 1516.52
07/19/21, 1519.97, 1519.97, 1519.97, 1519.97
07/16/21, 1522.48, 1522.48, 1522.48, 1522.48
07/15/21, 1520.82, 1520.82, 1520.82, 1520.82
07/14/21, 1512.32, 1512.32, 1512.32, 1512.32
07/13/21, 1519.56, 1519.56, 1519.56, 1519.56
07/12/21, 1512.89, 1512.89, 1512.89, 1512.89
07/09/21, 1520.58, 1520.58, 1520.58, 1520.58
07/08/21, 1508.71, 1508.71, 1508.71, 1508.71
07/07/21, 1530.15, 1530.15, 1530.15, 1530.15
07/06/21, 1531.63, 1531.63, 1531.63, 1531.63
07/05/21, 1532.36, 1532.36, 1532.36, 1532.36
07/02/21, 1533.35, 1533.35, 1533.35, 1533.35
07/01/21, 1534.23, 1534.23, 1534.23, 1534.23
06/30/21, 1532.63, 1532.63, 1532.63, 1532.63
06/29/21, 1548.31, 1548.31, 1548.31, 1548.31
06/28/21, 1544.71, 1544.71, 1544.71, 1544.71
06/25/21, 1559.68, 1559.68, 1559.68, 1559.68
