Date, Open, High, Low, Close
07/15/21, 3.280, 3.280, 3.245, 3.245
07/14/21, 3.265, 3.280, 3.255, 3.280
07/13/21, 3.265, 3.270, 3.260, 3.265
07/12/21, 3.195, 3.265, 3.195, 3.265
07/09/21, 3.175, 3.195, 3.155, 3.195
07/08/21, 3.175, 3.175, 3.160, 3.175
07/07/21, 3.200, 3.215, 3.170, 3.175
07/06/21, 3.205, 3.215, 3.200, 3.200
07/05/21, 3.250, 3.250, 3.205, 3.205
07/02/21, 3.290, 3.290, 3.250, 3.250
07/01/21, 3.295, 3.300, 3.285, 3.290
06/30/21, 3.330, 3.330, 3.295, 3.295
06/29/21, 3.315, 3.340, 3.310, 3.330
06/28/21, 3.315, 3.315, 3.310, 3.315
06/25/21, 3.295, 3.315, 3.290, 3.315
06/24/21, 3.290, 3.295, 3.280, 3.295
06/23/21, 3.295, 3.295, 3.280, 3.290
06/22/21, 3.280, 3.295, 3.280, 3.295
06/21/21, 3.300, 3.300, 3.270, 3.280
06/18/21, 3.310, 3.320, 3.300, 3.300
06/17/21, 3.300, 3.315, 3.295, 3.310
06/16/21, 3.290, 3.300, 3.290, 3.300
06/15/21, 3.255, 3.290, 3.250, 3.290
06/14/21, 3.255, 3.255, 3.250, 3.255
06/11/21, 3.260, 3.270, 3.250, 3.255
06/10/21, 3.295, 3.295, 3.250, 3.260
06/09/21, 3.290, 3.330, 3.290, 3.295
06/08/21, 3.225, 3.290, 3.225, 3.290
06/06/21, 3.225, 3.225, 3.225, 3.225
06/04/21, 3.220, 3.230, 3.215, 3.225
06/03/21, 3.230, 3.230, 3.215, 3.220
06/02/21, 3.235, 3.240, 3.230, 3.230
06/01/21, 3.245, 3.250, 3.235, 3.235
05/31/21, 3.225, 3.245, 3.220, 3.245
05/28/21, 3.220, 3.225, 3.215, 3.225
05/27/21, 3.225, 3.225, 3.210, 3.220
05/25/21, 3.220, 3.225, 3.220, 3.225
05/24/21, 3.240, 3.240, 3.220, 3.220
05/21/21, 3.230, 3.240, 3.220, 3.240
05/20/21, 3.205, 3.235, 3.205, 3.230
05/19/21, 3.200, 3.210, 3.195, 3.205
05/18/21, 3.160, 3.200, 3.160, 3.200
05/17/21, 3.155, 3.160, 3.150, 3.160
05/13/21, 3.155, 3.155, 3.155, 3.155
05/12/21, 3.125, 3.155, 3.125, 3.155
05/11/21, 3.110, 3.125, 3.110, 3.125
05/10/21, 3.085, 3.110, 3.080, 3.110
05/07/21, 3.085, 3.085, 3.080, 3.085
05/06/21, 3.095, 3.095, 3.080, 3.085
05/05/21, 3.130, 3.130, 3.095, 3.095
05/04/21, 3.150, 3.150, 3.130, 3.130
05/03/21, 3.185, 3.185, 3.150, 3.150
04/30/21, 3.185, 3.185, 3.180, 3.185
04/29/21, 3.185, 3.185, 3.185, 3.185
04/28/21, 3.155, 3.185, 3.140, 3.185
04/27/21, 3.110, 3.155, 3.110, 3.155
04/26/21, 3.075, 3.130, 3.075, 3.110
04/23/21, 3.090, 3.090, 3.070, 3.075
04/22/21, 3.110, 3.110, 3.090, 3.090
04/21/21, 3.090, 3.115, 3.090, 3.110
04/20/21, 3.080, 3.090, 3.080, 3.090
04/19/21, 3.100, 3.100, 3.080, 3.080
04/16/21, 3.110, 3.110, 3.085, 3.100
04/15/21, 3.130, 3.130, 3.110, 3.110
04/14/21, 3.070, 3.130, 3.070, 3.130
04/13/21, 3.065, 3.070, 3.060, 3.070
04/12/21, 3.060, 3.065, 3.050, 3.065
